\u0023\u20E3	\uE210
\u0030\u20E3	\uE225
\u0031\u20E3	\uE21C
\u0032\u20E3	\uE21D
\u0033\u20E3	\uE21E
\u0034\u20E3	\uE21F
\u0035\u20E3	\uE220
\u0036\u20E3	\uE221
\u0037\u20E3	\uE222
\u0038\u20E3	\uE223
\u0039\u20E3	\uE224
\u2196	\uE237
\u2197	\uE236
\u2198	\uE238
\u2199	\uE239
\u23E9	\uE23C
\u23EA	\uE23D
\u25B6	\uE23A
\u25C0	\uE23B
\u2600	\uE04A
\u2601	\uE049
\u260E	\uE009
\u2614	\uE04B
\u2615	\uE045
\u261D	\uE00F
\u263A	\uE414
\u2648	\uE23F
\u2649	\uE240
\u264A	\uE241
\u264B	\uE242
\u264C	\uE243
\u264D	\uE244
\u264E	\uE245
\u264F	\uE246
\u2650	\uE247
\u2651	\uE248
\u2652	\uE249
\u2653	\uE24A
\u2660	\uE20E
\u2663	\uE20F
\u2665	\uE20C
\u2666	\uE20D
\u2668	\uE123
\u267F	\uE20A
\u26A0	\uE252
\u26A1	\uE13D
\u26BD	\uE018
\u26BE	\uE016
\u26C4	\uE048
\u26CE	\uE24B
\u26EA	\uE037
\u26F2	\uE121
\u26F3	\uE014
\u26F5	\uE01C
\u26FA	\uE122
\u26FD	\uE03A
\u2702	\uE313
\u2708	\uE01D
\u270A	\uE010
\u270B	\uE012
\u270C	\uE011
\u2728	\uE32E
\u2733	\uE206
\u2734	\uE205
\u274C	\uE333
\u2753	\uE020
\u2754	\uE336
\u2755	\uE337
\u2757	\uE021
\u2764	\uE022
\u27A1	\uE234
\u27BF	\uE211
\u2B05	\uE235
\u2B06	\uE232
\u2B07	\uE233
\u2B50	\uE32F
\u2B55	\uE332
\u303D	\uE12C
\u3297	\uE30D
\u3299	\uE315

\U0001F004	\uE12D
\U0001F170	\uE532
\U0001F171	\uE533
\U0001F17E	\uE535
\U0001F17F	\uE14F
\U0001F18E	\uE534
\U0001F192	\uE214
\U0001F194	\uE229
\U0001F195	\uE212
\U0001F197	\uE24D
\U0001F199	\uE213
\U0001F19A	\uE12E
\U0001F1E8\U0001F1F3	\uE513
\U0001F1E9\U0001F1EA	\uE50E
\U0001F1EA\U0001F1F8	\uE511
\U0001F1EB\U0001F1F7	\uE50D
\U0001F1EC\U0001F1E7	\uE510
\U0001F1EE\U0001F1F9	\uE50F
\U0001F1EF\U0001F1F5	\uE50B
\U0001F1F0\U0001F1F7	\uE514
\U0001F1F7\U0001F1FA	\uE512
\U0001F1FA\U0001F1F8	\uE50C
\U0001F201	\uE203
\U0001F202	\uE228
\U0001F21A	\uE216
\U0001F22F	\uE22C
\U0001F233	\uE22B
\U0001F235	\uE22A
\U0001F236	\uE215
\U0001F237	\uE217
\U0001F238	\uE218
\U0001F239	\uE227
\U0001F23A	\uE22D
\U0001F250	\uE226
\U0001F300	\uE443
\U0001F302	\uE43C
\U0001F303	\uE44B
\U0001F304	\uE04D
\U0001F305	\uE449
\U0001F306	\uE146
\U0001F307	\uE44A
\U0001F308	\uE44C
\U0001F30A	\uE43E
\U0001F319	\uE04C
\U0001F31F	\uE335
\U0001F334	\uE307
\U0001F335	\uE308
\U0001F337	\uE304
\U0001F338	\uE030
\U0001F339	\uE032
\U0001F33A	\uE303
\U0001F33B	\uE305
\U0001F33E	\uE444
\U0001F340	\uE110
\U0001F341	\uE118
\U0001F342	\uE119
\U0001F343	\uE447
\U0001F345	\uE349
\U0001F346	\uE34A
\U0001F349	\uE348
\U0001F34A	\uE346
\U0001F34E	\uE345
\U0001F353	\uE347
\U0001F354	\uE120
\U0001F358	\uE33D
\U0001F359	\uE342
\U0001F35A	\uE33E
\U0001F35B	\uE341
\U0001F35C	\uE340
\U0001F35D	\uE33F
\U0001F35E	\uE339
\U0001F35F	\uE33B
\U0001F361	\uE33C
\U0001F362	\uE343
\U0001F363	\uE344
\U0001F366	\uE33A
\U0001F367	\uE43F
\U0001F370	\uE046
\U0001F371	\uE34C
\U0001F372	\uE34D
\U0001F373	\uE147
\U0001F374	\uE043
\U0001F375	\uE338
\U0001F376	\uE30B
\U0001F378	\uE044
\U0001F37A	\uE047
\U0001F37B	\uE30C
\U0001F380	\uE314
\U0001F381	\uE112
\U0001F382	\uE34B
\U0001F383	\uE445
\U0001F384	\uE033
\U0001F385	\uE448
\U0001F386	\uE117
\U0001F387	\uE440
\U0001F388	\uE310
\U0001F389	\uE312
\U0001F38C	\uE143
\U0001F38D	\uE436
\U0001F38E	\uE438
\U0001F38F	\uE43B
\U0001F390	\uE442
\U0001F391	\uE446
\U0001F392	\uE43A
\U0001F393	\uE439
\U0001F3A1	\uE124
\U0001F3A2	\uE433
\U0001F3A4	\uE03C
\U0001F3A5	\uE03D
\U0001F3A6	\uE507
\U0001F3A7	\uE30A
\U0001F3A8	\uE502
\U0001F3A9	\uE503
\U0001F3AB	\uE125
\U0001F3AC	\uE324
\U0001F3AF	\uE130
\U0001F3B0	\uE133
\U0001F3B1	\uE42C
\U0001F3B5	\uE03E
\U0001F3B6	\uE326
\U0001F3B7	\uE040
\U0001F3B8	\uE041
\U0001F3BA	\uE042
\U0001F3BE	\uE015
\U0001F3BF	\uE013
\U0001F3C0	\uE42A
\U0001F3C1	\uE132
\U0001F3C3	\uE115
\U0001F3C4	\uE017
\U0001F3C6	\uE131
\U0001F3C8	\uE42B
\U0001F3CA	\uE42D
\U0001F3E0	\uE036
\U0001F3E2	\uE038
\U0001F3E3	\uE153
\U0001F3E5	\uE155
\U0001F3E6	\uE14D
\U0001F3E7	\uE154
\U0001F3E8	\uE158
\U0001F3E9	\uE501
\U0001F3EA	\uE156
\U0001F3EB	\uE157
\U0001F3EC	\uE504
\U0001F3ED	\uE508
\U0001F3EF	\uE505
\U0001F3F0	\uE506
\U0001F40D	\uE52D
\U0001F40E	\uE134
\U0001F411	\uE529
\U0001F412	\uE528
\U0001F414	\uE52E
\U0001F417	\uE52F
\U0001F418	\uE526
\U0001F419	\uE10A
\U0001F41A	\uE441
\U0001F41B	\uE525
\U0001F41F	\uE019
\U0001F420	\uE522
\U0001F424	\uE523
\U0001F426	\uE521
